event,call_index,j,tries,side,extra,dt
rr_cpp_ext,1,"-","-",proc,degU=10;degM=11,8.6e-05
rr_cpp,1,1,1,loop,Ratrecon1_total,0.000459
rr_map,1,1,1,loop,Maple_Ratrecon,0.000371
rr_cpp_ext,2,"-","-",proc,degU=10;degM=11,3.6e-05
rr_cpp,2,2,1,loop,Ratrecon1_total,0.000226
rr_map,2,2,1,loop,Maple_Ratrecon,0.00015
rr_cpp_ext,3,"-","-",proc,degU=10;degM=11,3.4e-05
rr_cpp,3,3,1,loop,Ratrecon1_total,0.000238
rr_map,3,3,1,loop,Maple_Ratrecon,0.000181
rr_cpp_ext,4,"-","-",proc,degU=10;degM=11,4.4e-05
rr_cpp,4,4,1,loop,Ratrecon1_total,0.000274
rr_map,4,4,1,loop,Maple_Ratrecon,0.000187
rr_cpp_ext,5,"-","-",proc,degU=10;degM=11,4.8e-05
rr_cpp,5,5,1,loop,Ratrecon1_total,0.00031
rr_map,5,5,1,loop,Maple_Ratrecon,0.000256
rr_cpp_ext,6,"-","-",proc,degU=10;degM=11,3.6e-05
rr_cpp,6,6,1,loop,Ratrecon1_total,0.000239
rr_map,6,6,1,loop,Maple_Ratrecon,0.000161
rr_cpp_ext,7,"-","-",proc,degU=10;degM=11,3.4e-05
rr_cpp,7,7,1,loop,Ratrecon1_total,0.000223
rr_map,7,7,1,loop,Maple_Ratrecon,0.000165
rr_cpp_ext,8,"-","-",proc,degU=10;degM=11,4.4e-05
rr_cpp,8,8,1,loop,Ratrecon1_total,0.000375
rr_map,8,8,1,loop,Maple_Ratrecon,0.000213
rr_cpp_ext,9,"-","-",proc,degU=10;degM=11,4.3e-05
rr_cpp,9,9,1,loop,Ratrecon1_total,0.000292
rr_map,9,9,1,loop,Maple_Ratrecon,0.000202
rr_cpp_ext,10,"-","-",proc,degU=10;degM=11,4e-05
rr_cpp,10,10,1,loop,Ratrecon1_total,0.000268
rr_map,10,10,1,loop,Maple_Ratrecon,0.000232
rr_cpp_ext,11,"-","-",proc,degU=10;degM=11,4e-05
rr_cpp,11,11,1,loop,Ratrecon1_total,0.000266
rr_map,11,11,1,loop,Maple_Ratrecon,0.000181
rr_cpp_ext,12,"-","-",proc,degU=10;degM=11,4e-05
rr_cpp,12,12,1,loop,Ratrecon1_total,0.020189
rr_map,12,12,1,loop,Maple_Ratrecon,0.000203
rr_cpp_ext,13,"-","-",proc,degU=10;degM=11,4e-05
rr_cpp,13,13,1,loop,Ratrecon1_total,0.000237
rr_map,13,13,1,loop,Maple_Ratrecon,0.000206
rr_cpp_ext,14,"-","-",proc,degU=10;degM=11,4.5e-05
rr_cpp,14,14,1,loop,Ratrecon1_total,0.000235
rr_map,14,14,1,loop,Maple_Ratrecon,0.000173
rr_cpp_ext,15,"-","-",proc,degU=10;degM=11,3.4e-05
rr_cpp,15,15,1,loop,Ratrecon1_total,0.000226
rr_map,15,15,1,loop,Maple_Ratrecon,0.000177
rr_cpp_ext,16,"-","-",proc,degU=10;degM=11,4.5e-05
rr_cpp,16,16,1,loop,Ratrecon1_total,0.0003
rr_map,16,16,1,loop,Maple_Ratrecon,0.000185
rr_cpp_ext,17,"-","-",proc,degU=10;degM=11,4.1e-05
rr_cpp,17,17,1,loop,Ratrecon1_total,0.00036
rr_map,17,17,1,loop,Maple_Ratrecon,0.000189
rr_cpp_ext,18,"-","-",proc,degU=10;degM=11,4.2e-05
rr_cpp,18,18,1,loop,Ratrecon1_total,0.000289
rr_map,18,18,1,loop,Maple_Ratrecon,0.00017
rr_cpp_ext,19,"-","-",proc,degU=10;degM=11,3.8e-05
rr_cpp,19,19,1,loop,Ratrecon1_total,0.000275
rr_map,19,19,1,loop,Maple_Ratrecon,0.000224
rr_cpp_ext,20,"-","-",proc,degU=10;degM=11,3.9e-05
rr_cpp,20,20,1,loop,Ratrecon1_total,0.000252
rr_map,20,20,1,loop,Maple_Ratrecon,0.000176
rr_cpp_ext,21,"-","-",proc,degU=10;degM=11,3.7e-05
rr_cpp,21,21,1,loop,Ratrecon1_total,0.00024
rr_map,21,21,1,loop,Maple_Ratrecon,0.000182
rr_cpp_ext,22,"-","-",proc,degU=10;degM=11,4.4e-05
rr_cpp,22,22,1,loop,Ratrecon1_total,0.000247
rr_map,22,22,1,loop,Maple_Ratrecon,0.000191
rr_cpp_ext,23,"-","-",proc,degU=10;degM=11,3.5e-05
rr_cpp,23,23,1,loop,Ratrecon1_total,0.000218
rr_map,23,23,1,loop,Maple_Ratrecon,0.000198
rr_cpp_ext,24,"-","-",proc,degU=10;degM=11,3.4e-05
rr_cpp,24,24,1,loop,Ratrecon1_total,0.000222
rr_map,24,24,1,loop,Maple_Ratrecon,0.000174
rr_cpp_ext,25,"-","-",proc,degU=10;degM=11,3.5e-05
rr_cpp,25,25,1,loop,Ratrecon1_total,0.000214
rr_map,25,25,1,loop,Maple_Ratrecon,0.000168
rr_cpp_ext,26,"-","-",proc,degU=10;degM=11,3.4e-05
rr_cpp,26,26,1,loop,Ratrecon1_total,0.000224
rr_map,26,26,1,loop,Maple_Ratrecon,0.000212
rr_cpp_ext,27,"-","-",proc,degU=10;degM=11,3.2e-05
rr_cpp,27,27,1,loop,Ratrecon1_total,0.000211
rr_map,27,27,1,loop,Maple_Ratrecon,0.000213
rr_cpp_ext,28,"-","-",proc,degU=10;degM=11,3.3e-05
rr_cpp,28,28,1,loop,Ratrecon1_total,0.00021
rr_map,28,28,1,loop,Maple_Ratrecon,0.000188
rr_cpp_ext,29,"-","-",proc,degU=10;degM=11,3.4e-05
rr_cpp,29,29,1,loop,Ratrecon1_total,0.000219
rr_map,29,29,1,loop,Maple_Ratrecon,0.000181
rr_cpp_ext,30,"-","-",proc,degU=10;degM=11,3.5e-05
rr_cpp,30,30,1,loop,Ratrecon1_total,0.000218
rr_map,30,30,1,loop,Maple_Ratrecon,0.001561
